Item Code,Item Name,Loss Rate (%),Original Item Name
102900005118831,Select Curly Kale (500g pack),2.48,Wawacai
102900005119098,Seasonal King Oyster Mushrooms (1kg pack),12.78,The Agaricus Bisporus
102900005119104,Seasonal Mixed Wild Mushrooms (Bunch),9.24,The Crab Flavor Mushroom (1)
102900005119944,Seasonal Enoki Mushrooms (Punnet),9.89,Haixian Mushroom (1)
102900005119968,Select Mixed Peppers (Tray),9.0,Green Hangzhou Pepper (2)
102900005119975,Select Flat Leaf Parsley (1kg pack),8.42,Hongshujian
102900005122654,Select Coriander (Bunch),11.38,Zhijiang Red Bolt
102900005123880,Select Ramiro Pepper (Bag),16.33,Bell Pepper (1)
102900005125808,Select Snack Peppers (Loose),5.86,Millet Pepper
102900005125815,Seasonal Brown Cup Mushrooms (Net),5.05,Apricot Bao Mushroom (1)
102900005128748,Select Pak Choi (Punnet),16.89,Huanghuacai
102900011000175,Select Endive (Net),20.38,Kuaicai
102900011000328,Organic Red Bell Pepper (500g pack),10.18,Luosi Pepper
102900011000335,Organic Plum Tomatoes (Bag),0.32,Round Eggplant
102900011000571,Select Lambs Lettuce (Tray),12.2,Suizhou Bubble Green
102900011000632,Organic Tenderstem Broccoli (Tray),25.53,Purple Cabbage (1)
102900011000861,Organic Yellow Bell Pepper (1kg pack),7.71,Red Line Pepper
102900011001219,Organic Green Bell Pepper (Bunch),8.93,The Red Bell Pepper (1)
102900011001561,Value Carrots (Punnet),12.17,Lotus (Ea)
102900011001691,Value New Potatoes (Net),9.61,Water Chestnut (Lingjiao)
102900011001806,Seasonal Flat Mushrooms (Tray),12.42,Jigu Mushroom (Bunch)
102900011001813,Seasonal Sliced Mushrooms (Bag),8.85,Needle Mushroom (Bag) (1)
102900011002414,Select Watercress (Bag),16.95,Panax Notoginseng
102900011006689,Select Mixed Salad Leaves (Loose),27.84,Dongmenkou Xiaobaicai
102900011006948,Select Spring Greens (500g pack),26.16,Foreign Garland Chrysanthemum 
102900011006955,Select Radicchio (1kg pack),15.01,Ice Grass
102900011007044,Seasonal Organic Mushrooms (Loose),9.14,Tremella (Flower)
102900011007464,Select Little Gem Lettuce (Bunch),12.88,Perilla
102900011007471,Select Savoy Spinach (Punnet),13.28,Mint
102900011007495,Select Beet Greens (Net),15.92,The Dandelion
102900011007969,Value Sweet Potatoes (Tray),16.63,Red Lotus Root Zone
102900011008133,Select Green Lettuce (Tray),15.98,Siguajian
102900011008164,Select Red Lettuce (Bag),15.68,Naibaicai
102900011008485,Organic Romaine Lettuce (Loose),13.75,Mustard
102900011008492,Organic Butterhead Lettuce (500g pack),4.69,Big Broccoli
102900011008515,Organic Baby Spinach (1kg pack),12.8,Miantiaocai
102900011008522,Organic Rocket (Bunch),9.43,Sweet Chinese Cabbage
102900011008577,Premium Chestnut Mushrooms (500g pack),16.19,Hericium 
102900011008676,Organic Swiss Chard (Punnet),11.56,Jicai
102900011009246,Premium Button Mushrooms (1kg pack),7.63,Fresh Black Fungus (1)
102900011009277,Value Beetroot (Bag),11.02,Water Chestnut
102900011009444,Organic Mixed Mediterranean Veg (Loose),10.94,Dalong Eggplant
102900011009772,Organic Orange Bell Pepper (Punnet),9.43,Fruit Pepper (Orange)
102900011009970,Organic Brussels Sprouts (Bag),17.06,Qinggengsanhua
102900011010563,Premium Portobello Mushrooms (Bunch),11.93,Chicken Fir Bacteria
102900011010891,Value Parsnips (Loose),7.97,Wild Lotus Root (1)
102900011011058,Premium Oyster Mushrooms (Punnet),10.17,Black Porcini
102900011011546,Premium Shiitake Mushrooms (Net),5.96,Haixian Mushroom (Bag) (1)
102900011011669,Premium King Oyster Mushrooms (Tray),11.93,Xiuzhen Mushroom
102900011011782,Premium Mixed Wild Mushrooms (Bag),11.93,Chinese Caterpillar Fungus Flowers (Box) (1)
102900011012482,Premium Enoki Mushrooms (Loose),9.97,Tea Tree Mushroom (Bag)
102900011012871,Premium Brown Cup Mushrooms (500g pack),11.03,Black Chicken  Mushroom
102900011012994,Premium Flat Mushrooms (1kg pack),10.03,Apricot Bao Mushroom (Bag)
102900011013274,Premium Sliced Mushrooms (Bunch),6.57,The White Mushroom (Bag)
102900011015384,Organic Curly Kale (Net),15.16,Malan Head
102900011015391,Organic Flat Leaf Parsley (Tray),11.58,Ganlanye
102900011016701,Organic Sweet Pointed Pepper (Net),5.7,Wuhu Green Pepper (1)
102900011016909,Organic Beef Tomatoes (500g pack),6.98,Hua Eggplant
102900011018095,Premium Organic Mushrooms (Punnet),11.13,Chinese Caterpillar Fungus Flowers (Bag)
102900011018132,Value Turnips (500g pack),12.69,Wild Pink Lotus Root
102900011021644,Organic Coriander (Bag),9.34,Hongshan Caitai
102900011021675,Loose Chestnut Mushrooms (Net),8.75,Chopped Red Pine
102900011021699,Loose Button Mushrooms (Tray),8.11,The Steak Mushrooms
102900011021842,Value Celeriac (1kg pack),11.81,Honghu Lotus Root Powder (Fenou)
102900011022030,Organic Padron Peppers (Tray),9.43,Pepper Mix
102900011022764,Organic Mini Cucumbers (1kg pack),6.9,Changxianqie
102900011022849,Organic Pak Choi (Loose),6.73,The Local Yellow Youcai
102900011022924,Organic Endive (500g pack),10.94,Green Caitai
102900011023075,Loose Portobello Mushrooms (Bag),11.13,White Jelly Mushroom
102900011023464,Organic Lambs Lettuce (1kg pack),10.33,Xiaoqingcai (1)
102900011023648,Organic Jalapeno Chillies (Bag),8.78,Wuhu Green Pepper (2)
102900011023976,Value Swede (Bunch),11.62,Net Lotus Root (2)
102900011024010,Value Jerusalem Artichokes (Punnet),12.69,Fresh Lotus Root Zone (Bag)
102900011026502,Organic Watercress (Bunch),10.94,Fresh Rice Dumplings Leaves
102900011026618,Organic Mixed Salad Leaves (Punnet),9.27,Aihao
102900011026793,Loose Oyster Mushrooms (Loose),9.43,Apricot Bao Mushroom (250 G)
102900011027462,Organic Spring Greens (Net),10.94,Naibai Caimiao
102900011027479,Organic Red Chillies (Loose),8.71,Xiaozhoupi
102900011027615,Organic Radicchio (Tray),3.43,Juhua Youcai
102900011028407,Organic Green Chillies (500g pack),9.43,Yuganjiao
102900011029176,Organic Mixed Peppers (1kg pack),0.0,Lameizi
102900011029275,Organic Ramiro Pepper (Bunch),9.43,Purple Hot Peppers
102900011029299,Organic Snack Peppers (Punnet),0.0,Purple Screw Pepper
102900011029305,Local Red Bell Pepper (Net),0.18,Fruit Chili
102900011029688,Organic Little Gem Lettuce (Bag),10.75,Shuanggou Cabbage
102900011030042,Organic Savoy Spinach (Loose),9.43,Zhijiang Red Bolt (Bag)
102900011030059,Organic Beet Greens (500g pack),9.43,Yunnan Lettuce (Bag)
102900011030097,Organic Green Lettuce (1kg pack),9.43,Yunnan Leaf Lettuce (Bag)
102900011030103,Organic Red Lettuce (Bunch),9.43,Garden Chrysanthemum (Bag)
102900011030110,Local Romaine Lettuce (Punnet),9.43,Spinach (Bag)
102900011030134,Local Butterhead Lettuce (Net),9.43,Caixin (Bag)
102900011030141,Local Baby Spinach (Tray),9.43,Shanghai Green (Bag)
102900011030158,Local Rocket (Bag),9.43,Xiaoqingcai (2)
102900011030400,Local Swiss Chard (Loose),0.0,Hongshan Shoutidai
102900011030417,Local Curly Kale (500g pack),0.0,Hongshan Gift Box
102900011030561,Loose Shiitake Mushrooms (500g pack),0.0,Chopped Red Pine (Box)
102900011030608,Loose King Oyster Mushrooms (1kg pack),19.8,The Steak Mushrooms (Box)
102900011030615,Loose Mixed Wild Mushrooms (Bunch),0.0,The Pork Stomach Mushroom (Box)
102900011030622,Loose Enoki Mushrooms (Punnet),0.0,Black Porcini (Box)
102900011030639,Loose Brown Cup Mushrooms (Net),0.0,Black Chicken Fir Bacteria (Box)
102900011030905,Local Flat Leaf Parsley (1kg pack),9.43,Yuxingcao (Bag)
102900011030912,Loose Flat Mushrooms (Tray),9.43,Haixian Mushroom (Bag)
102900011030929,Loose Sliced Mushrooms (Bag),9.43,Fresh Edible Fungus (Bag)
102900011031100,Local Yellow Bell Pepper (Tray),9.43,Millet Pepper (Bag)
102900011031216,Local Coriander (Bunch),10.34,Ice Grass (Box)
102900011031582,Local Green Bell Pepper (Bag),9.43,Green Hot Peppers (Bag)
102900011031599,Loose Organic Mushrooms (Loose),9.43,Apricot Bao Mushroom (Bag)
102900011031735,Local Orange Bell Pepper (Loose),9.43,7 Colour Pepper (Bag)
102900011031742,Local Sweet Pointed Pepper (500g pack),9.43,Bell Pepper (Bag)
102900011031759,Local Padron Peppers (1kg pack),9.43,Red Bell Pepper (Bag)
102900011031841,Class I Chestnut Mushrooms (500g pack),9.43,Agaricus Bisporus (Bag)
102900011031858,Class I Button Mushrooms (1kg pack),9.43,Needle Mushroom (Bag)
102900011031926,Class I Portobello Mushrooms (Bunch),9.43,Chinese Caterpillar Fungus Flowers (Bag)
102900011031995,Class I Oyster Mushrooms (Punnet),9.43,Jigu (Bag)
102900011032022,Local Jalapeno Chillies (Bunch),9.43,Xiaozhoupi (Bag)
102900011032114,Value Radishes (Net),9.43,Water Chestnut (Bag)
102900011032145,Local Red Chillies (Punnet),9.43,Wuhu Green Pepper (Bag)
102900011032176,Local Pak Choi (Punnet),9.43,Basil (Bag)
102900011032206,Local Green Chillies (Net),9.43,Green Hang Pepper (Bag)
102900011032213,Local Mixed Peppers (Tray),9.43,Red Hang Pepper (Bag)
102900011032220,Local Ramiro Pepper (Bag),9.43,Fruit Pepper (Bag)
102900011032237,Local Snack Peppers (Loose),9.43,Green Line Pepper (Bag)
102900011032244,Family Pack Red Bell Pepper (500g pack),9.43,Red Hot Peppers (Bag)
102900011032251,Family Pack Yellow Bell Pepper (1kg pack),9.43,Luosi Pepper (Bag)
102900011032282,Local Endive (Net),0.0,Xiangtianhongcaitai (Bag)
102900011032343,Family Pack Green Bell Pepper (Bunch),9.43,7 Colour Pepper (2)
102900011032350,Family Pack Orange Bell Pepper (Punnet),9.43,Bell Pepper (2)
102900011032367,Family Pack Sweet Pointed Pepper (Net),9.43,Red Bell Pepper (2)
102900011032480,Local Lambs Lettuce (Tray),0.0,Artemisia Stelleriana
102900011032589,Local Watercress (Bag),9.43,Yuxingcao 
102900011032619,Class I Shiitake Mushrooms (Net),9.43,Xixia Xianggu Mushroom (2)
102900011032626,Class I King Oyster Mushrooms (Tray),9.43,Fresh Edible Fungus (2)
102900011032633,Class I Mixed Wild Mushrooms (Bag),9.43,Fresh Sea (2)
102900011032640,Class I Enoki Mushrooms (Loose),9.43,Jigu (2)
102900011032732,Value Leeks (Tray),9.43,High Melon (2)
102900011032787,Local Mixed Salad Leaves (Loose),9.43,Zhuyecai (Bag)
102900011032848,Family Pack Padron Peppers (Tray),9.43,Ginger And Xiaomijiao Mix (Small Bag)
102900011033081,Local Spring Greens (500g pack),29.03,Chuncai
102900011033173,Local Radicchio (1kg pack),16.8,Sophora Japonica
102900011033234,Local Little Gem Lettuce (Bunch),9.43,Hongshujian (Bag)
102900011033241,Local Savoy Spinach (Punnet),9.43,Caidian Quinoa Artemisia (Bag)
102900011033531,Local Beet Greens (Net),9.43,Red Coral (Leaf)
102900011033562,Local Green Lettuce (Tray),9.43,Red Oak Leaf
102900011033586,Local Red Lettuce (Bag),9.43,Green Butter
102900011033906,Family Pack Romaine Lettuce (Loose),9.43,Powcan Mountain Chinese Cabbage 
102900011033913,Organic Spring Cabbage (Loose),9.43,Purple Cabbage (2)
102900011033920,Family Pack Butterhead Lettuce (500g pack),9.43,Huangxincai (2)
102900011033937,Class I Brown Cup Mushrooms (500g pack),9.43,Needle Mushroom (2)
102900011033944,Class I Flat Mushrooms (1kg pack),9.43,Apricot Bao Mushroom (2)
102900011033968,Class I Sliced Mushrooms (Bunch),9.43,Xixia Black Mushroom (2)
102900011033975,Local Tomatoes (Bunch),9.43,Green Eggplant (2)
102900011033982,Local Cherry Tomatoes (Punnet),9.43,Eggplant (1)
102900011033999,Local Aubergines (Net),9.43,Round Eggplant (1)
102900011034026,Local White Cabbage (500g pack),9.43,Zhijiang Qinggengsanhua
102900011034200,Family Pack Baby Spinach (1kg pack),9.43,Amaranth (Bag)
102900011034217,Family Pack Rocket (Bunch),9.43,Chinese Cabbage (Bag)
102900011034224,Family Pack Swiss Chard (Punnet),9.43,Xiaoqingcai (Bag)
102900011034231,Family Pack Curly Kale (Net),9.43,Cabbage Stem (Bag)
102900011034262,Family Pack Jalapeno Chillies (Bag),9.43,Red Pepper (Bag)
102900011034316,Family Pack Flat Leaf Parsley (Tray),0.0,Zhimaxiancai
102900011034323,Family Pack Coriander (Bag),0.0,Xianzongye
102900011034330,Class I Organic Mushrooms (Punnet),0.2,Agaricus Bisporus (Box)
102900011034354,Family Pack Pak Choi (Loose),0.0,Xianzongye (Bag) (1)
102900011034439,Family Pack Red Chillies (Loose),9.43,Green And Red Hang Pepper Mix (Bag)
102900011034538,Value Chestnut Mushrooms (Net),9.43,Black Mushroom (Bag)
102900011034569,Value Fennel (Bag),9.43,Honghu Lotus (Lotus Root)
102900011034705,Value Button Mushrooms (Tray),9.43,The Fungus Mushroom Hot Pot Package (Bag)
102900011035078,Family Pack Green Chillies (500g pack),9.43,Red Pepper (2)
102900011035481,Family Pack Endive (500g pack),9.43,Foreign Garland Chrysanthemum  (Bag)
102900011035511,Standard Carrots (500g pack),9.43,Net Lotus Root (3)
102900011035740,Value Portobello Mushrooms (Bag),0.84,Crab Flavor Mushroom And White Mushroom Mix (Box)
102900011035764,Family Pack Lambs Lettuce (1kg pack),9.43,Longyacai
102900011035771,Family Pack Watercress (Bunch),9.43,Yellow Baicai (1)
102900011035788,Value Oyster Mushrooms (Loose),9.43,Xixia Xianggu Mushroom (Bag)
102900011035849,Family Pack Mixed Salad Leaves (Punnet),0.0,Chinese Cabbage Seedling
102900011035962,Standard New Potatoes (1kg pack),9.43,Wild Lotus Root (2)
102900011036068,Value Shiitake Mushrooms (500g pack),9.43,Mushroom And Leaf Mix (Bag)
102900011036242,Family Pack Mixed Peppers (1kg pack),9.43,Green And Red Jian Pepper Mix (Bag)
102900011036266,Value King Oyster Mushrooms (1kg pack),0.0,Velvet Antler Mushroom (Box)
102900011036686,Family Pack Spring Greens (Net),9.43,Muercai (Bag)
102900051000463,Local Courgettes (Tray),6.71,Round Eggplant (2)
102900051000890,Family Pack Radicchio (Tray),9.43,Broccoli
102900051000944,Standard Sweet Potatoes (Bunch),24.05,Honghu Lotus Root
102900051004294,Family Pack Ramiro Pepper (Bunch),7.8,Green Line Pepper
102900051006229,Standard Beetroot (Punnet),0.0,Lotus Root Tip
102900051009220,Family Pack Little Gem Lettuce (Bag),10.94,Youcaitai
102900051009336,Value Mixed Wild Mushrooms (Bunch),11.68,Chinese Caterpillar Fungus Flowers
102900051010455,Family Pack Savoy Spinach (Loose),15.61,Huangbaicai (2)
102900051010790,Family Pack Beet Greens (500g pack),19.58,Purple Beicai
106930274220092,Value Enoki Mushrooms (Punnet),11.13,The Crab Flavor Mushroom (Bag)
106930274620090,Value Brown Cup Mushrooms (Net),0.0,Haixian Mushroom (Bag) (2)
106931885000035,Value Flat Mushrooms (Tray),11.13,Embroidered Aureus
106931885000356,Value Sliced Mushrooms (Bag),8.34,Embroidered Aureus (Bag)
106949711300068,Value Organic Mushrooms (Loose),11.13,Needle Mushroom (Bag) (3)
106949711300167,Standard Chestnut Mushrooms (1kg pack),6.64,Needle Mushroom (Bag) (2)
106949711300259,Standard Button Mushrooms (Bunch),0.45,Needle Mushroom (Box)
106956146480197,Standard Portobello Mushrooms (Punnet),7.3,The White Mushroom (2)
106956146480203,Standard Oyster Mushrooms (Net),16.04,The Crab Flavor Mushroom (2)
106957634300010,Standard Shiitake Mushrooms (Tray),0.0,The White Mushroom (Box)
106957634300058,Standard King Oyster Mushrooms (Bag),0.0,The Crab Flavor Mushroom (Box)
106958851400125,Standard Mixed Wild Mushrooms (Loose),11.13,Haixian Mushroom (Bag) (4)
106971533450003,Standard Enoki Mushrooms (500g pack),0.0,Haixian Mushroom (Bunch)
106971533455008,Standard Brown Cup Mushrooms (1kg pack),1.3,Haixian Mushroom (Bag) (3)
106971563780002,Family Pack Green Lettuce (1kg pack),0.0,Xianzongye (Bag) (2)
106972776821582,Family Pack Red Lettuce (Bunch),9.43,Xianzongye (Bag) (3)
106973223300667,Standard Flat Mushrooms (Bunch),11.13,Chinese Caterpillar Fungus Flowers (Box) (2)
106973990980123,Standard Sliced Mushrooms (Punnet),0.12,Hfyg Haixian Mushroom (Bunch)
