Item Code,Item Name,Category Code,Category Name,Original Item Name,Original Category Code,Original Category Name
102900011030042,Organic Savoy Spinach (Loose),EU01,Leafy Greens,Zhijiang Red Bolt (Bag),1011010101,Flower/Leaf Vegetables
102900011030059,Organic Beet Greens (500g pack),EU01,Leafy Greens,Yunnan Lettuce (Bag),1011010101,Flower/Leaf Vegetables
102900011030097,Organic Green Lettuce (1kg pack),EU01,Leafy Greens,Yunnan Leaf Lettuce (Bag),1011010101,Flower/Leaf Vegetables
102900011030103,Organic Red Lettuce (Bunch),EU01,Leafy Greens,Garden Chrysanthemum (Bag),1011010101,Flower/Leaf Vegetables
102900011030110,Local Romaine Lettuce (Punnet),EU01,Leafy Greens,Spinach (Bag),1011010101,Flower/Leaf Vegetables
102900011030134,Local Butterhead Lettuce (Net),EU01,Leafy Greens,Caixin (Bag),1011010101,Flower/Leaf Vegetables
102900011030141,Local Baby Spinach (Tray),EU01,Leafy Greens,Shanghai Green (Bag),1011010101,Flower/Leaf Vegetables
102900011030158,Local Rocket (Bag),EU01,Leafy Greens,Xiaoqingcai (2),1011010101,Flower/Leaf Vegetables
102900011030400,Local Swiss Chard (Loose),EU01,Leafy Greens,Hongshan Shoutidai,1011010101,Flower/Leaf Vegetables
102900011030417,Local Curly Kale (500g pack),EU01,Leafy Greens,Hongshan Gift Box,1011010101,Flower/Leaf Vegetables
102900011030905,Local Flat Leaf Parsley (1kg pack),EU01,Leafy Greens,Yuxingcao (Bag),1011010101,Flower/Leaf Vegetables
102900011031216,Local Coriander (Bunch),EU01,Leafy Greens,Ice Grass (Box),1011010101,Flower/Leaf Vegetables
102900011032176,Local Pak Choi (Punnet),EU01,Leafy Greens,Basil (Bag),1011010101,Flower/Leaf Vegetables
102900011032282,Local Endive (Net),EU01,Leafy Greens,Xiangtianhongcaitai (Bag),1011010101,Flower/Leaf Vegetables
102900011032480,Local Lambs Lettuce (Tray),EU01,Leafy Greens,Artemisia Stelleriana,1011010101,Flower/Leaf Vegetables
102900011032589,Local Watercress (Bag),EU01,Leafy Greens,Yuxingcao ,1011010101,Flower/Leaf Vegetables
102900011032787,Local Mixed Salad Leaves (Loose),EU01,Leafy Greens,Zhuyecai (Bag),1011010101,Flower/Leaf Vegetables
102900011033081,Local Spring Greens (500g pack),EU01,Leafy Greens,Chuncai,1011010101,Flower/Leaf Vegetables
102900011033173,Local Radicchio (1kg pack),EU01,Leafy Greens,Sophora Japonica,1011010101,Flower/Leaf Vegetables
102900011033234,Local Little Gem Lettuce (Bunch),EU01,Leafy Greens,Hongshujian (Bag),1011010101,Flower/Leaf Vegetables
102900011033241,Local Savoy Spinach (Punnet),EU01,Leafy Greens,Caidian Quinoa Artemisia (Bag),1011010101,Flower/Leaf Vegetables
102900011033531,Local Beet Greens (Net),EU01,Leafy Greens,Red Coral (Leaf),1011010101,Flower/Leaf Vegetables
102900011033562,Local Green Lettuce (Tray),EU01,Leafy Greens,Red Oak Leaf,1011010101,Flower/Leaf Vegetables
102900011033586,Local Red Lettuce (Bag),EU01,Leafy Greens,Green Butter,1011010101,Flower/Leaf Vegetables
102900011033906,Family Pack Romaine Lettuce (Loose),EU01,Leafy Greens,Powcan Mountain Chinese Cabbage ,1011010101,Flower/Leaf Vegetables
102900011033920,Family Pack Butterhead Lettuce (500g pack),EU01,Leafy Greens,Huangxincai (2),1011010101,Flower/Leaf Vegetables
102900011034200,Family Pack Baby Spinach (1kg pack),EU01,Leafy Greens,Amaranth (Bag),1011010101,Flower/Leaf Vegetables
102900011034217,Family Pack Rocket (Bunch),EU01,Leafy Greens,Chinese Cabbage (Bag),1011010101,Flower/Leaf Vegetables
102900011034224,Family Pack Swiss Chard (Punnet),EU01,Leafy Greens,Xiaoqingcai (Bag),1011010101,Flower/Leaf Vegetables
102900011034231,Family Pack Curly Kale (Net),EU01,Leafy Greens,Cabbage Stem (Bag),1011010101,Flower/Leaf Vegetables
102900011034316,Family Pack Flat Leaf Parsley (Tray),EU01,Leafy Greens,Zhimaxiancai,1011010101,Flower/Leaf Vegetables
102900011034323,Family Pack Coriander (Bag),EU01,Leafy Greens,Xianzongye,1011010101,Flower/Leaf Vegetables
102900011034354,Family Pack Pak Choi (Loose),EU01,Leafy Greens,Xianzongye (Bag) (1),1011010101,Flower/Leaf Vegetables
102900011035481,Family Pack Endive (500g pack),EU01,Leafy Greens,Foreign Garland Chrysanthemum  (Bag),1011010101,Flower/Leaf Vegetables
102900011035764,Family Pack Lambs Lettuce (1kg pack),EU01,Leafy Greens,Longyacai,1011010101,Flower/Leaf Vegetables
102900011035771,Family Pack Watercress (Bunch),EU01,Leafy Greens,Yellow Baicai (1),1011010101,Flower/Leaf Vegetables
102900011035849,Family Pack Mixed Salad Leaves (Punnet),EU01,Leafy Greens,Chinese Cabbage Seedling,1011010101,Flower/Leaf Vegetables
102900011036686,Family Pack Spring Greens (Net),EU01,Leafy Greens,Muercai (Bag),1011010101,Flower/Leaf Vegetables
102900051000890,Family Pack Radicchio (Tray),EU01,Leafy Greens,Broccoli,1011010101,Flower/Leaf Vegetables
102900051009220,Family Pack Little Gem Lettuce (Bag),EU01,Leafy Greens,Youcaitai,1011010101,Flower/Leaf Vegetables
102900051010455,Family Pack Savoy Spinach (Loose),EU01,Leafy Greens,Huangbaicai (2),1011010101,Flower/Leaf Vegetables
102900051010790,Family Pack Beet Greens (500g pack),EU01,Leafy Greens,Purple Beicai,1011010101,Flower/Leaf Vegetables
106971563780002,Family Pack Green Lettuce (1kg pack),EU01,Leafy Greens,Xianzongye (Bag) (2),1011010101,Flower/Leaf Vegetables
106972776821582,Family Pack Red Lettuce (Bunch),EU01,Leafy Greens,Xianzongye (Bag) (3),1011010101,Flower/Leaf Vegetables
102900005116714,Organic Broccoli (Net),EU06,Brassicas,Broccoli,1011010201,Cabbage
102900011000632,Organic Tenderstem Broccoli (Tray),EU06,Brassicas,Purple Cabbage (1),1011010201,Cabbage
102900011009970,Organic Brussels Sprouts (Bag),EU06,Brassicas,Qinggengsanhua,1011010201,Cabbage
102900011033913,Organic Spring Cabbage (Loose),EU06,Brassicas,Purple Cabbage (2),1011010201,Cabbage
102900011034026,Local White Cabbage (500g pack),EU06,Brassicas,Zhijiang Qinggengsanhua,1011010201,Cabbage
102900005116042,Class I Radishes (500g pack),EU04,Root & Tuber Vegetables,Lotus Root,1011010402,Aquatic Tuberous Vegetables
102900005116899,Class I Leeks (1kg pack),EU04,Root & Tuber Vegetables,Net Lotus Root (1),1011010402,Aquatic Tuberous Vegetables
102900005118824,Class I Fennel (Bunch),EU04,Root & Tuber Vegetables,High Melon (1),1011010402,Aquatic Tuberous Vegetables
102900011001561,Value Carrots (Punnet),EU04,Root & Tuber Vegetables,Lotus (Ea),1011010402,Aquatic Tuberous Vegetables
102900011001691,Value New Potatoes (Net),EU04,Root & Tuber Vegetables,Water Chestnut (Lingjiao),1011010402,Aquatic Tuberous Vegetables
102900011007969,Value Sweet Potatoes (Tray),EU04,Root & Tuber Vegetables,Red Lotus Root Zone,1011010402,Aquatic Tuberous Vegetables
102900011009277,Value Beetroot (Bag),EU04,Root & Tuber Vegetables,Water Chestnut,1011010402,Aquatic Tuberous Vegetables
102900011010891,Value Parsnips (Loose),EU04,Root & Tuber Vegetables,Wild Lotus Root (1),1011010402,Aquatic Tuberous Vegetables
102900011018132,Value Turnips (500g pack),EU04,Root & Tuber Vegetables,Wild Pink Lotus Root,1011010402,Aquatic Tuberous Vegetables
102900011021842,Value Celeriac (1kg pack),EU04,Root & Tuber Vegetables,Honghu Lotus Root Powder (Fenou),1011010402,Aquatic Tuberous Vegetables
102900011023976,Value Swede (Bunch),EU04,Root & Tuber Vegetables,Net Lotus Root (2),1011010402,Aquatic Tuberous Vegetables
102900011024010,Value Jerusalem Artichokes (Punnet),EU04,Root & Tuber Vegetables,Fresh Lotus Root Zone (Bag),1011010402,Aquatic Tuberous Vegetables
102900011032114,Value Radishes (Net),EU04,Root & Tuber Vegetables,Water Chestnut (Bag),1011010402,Aquatic Tuberous Vegetables
102900011032732,Value Leeks (Tray),EU04,Root & Tuber Vegetables,High Melon (2),1011010402,Aquatic Tuberous Vegetables
102900011034569,Value Fennel (Bag),EU04,Root & Tuber Vegetables,Honghu Lotus (Lotus Root),1011010402,Aquatic Tuberous Vegetables
102900011035511,Standard Carrots (500g pack),EU04,Root & Tuber Vegetables,Net Lotus Root (3),1011010402,Aquatic Tuberous Vegetables
102900011035962,Standard New Potatoes (1kg pack),EU04,Root & Tuber Vegetables,Wild Lotus Root (2),1011010402,Aquatic Tuberous Vegetables
102900051000944,Standard Sweet Potatoes (Bunch),EU04,Root & Tuber Vegetables,Honghu Lotus Root,1011010402,Aquatic Tuberous Vegetables
102900051006229,Standard Beetroot (Punnet),EU04,Root & Tuber Vegetables,Lotus Root Tip,1011010402,Aquatic Tuberous Vegetables
102900005116257,Organic Cucumbers (Net),EU05,Mediterranean Vegetables,Eggplant (2),1011010501,Solanum
102900005116509,Organic Vine Tomatoes (Tray),EU05,Mediterranean Vegetables,Green Eggplant (1),1011010501,Solanum
102900011000335,Organic Plum Tomatoes (Bag),EU05,Mediterranean Vegetables,Round Eggplant,1011010501,Solanum
102900011009444,Organic Mixed Mediterranean Veg (Loose),EU05,Mediterranean Vegetables,Dalong Eggplant,1011010501,Solanum
102900011016909,Organic Beef Tomatoes (500g pack),EU05,Mediterranean Vegetables,Hua Eggplant,1011010501,Solanum
102900011022764,Organic Mini Cucumbers (1kg pack),EU05,Mediterranean Vegetables,Changxianqie,1011010501,Solanum
102900011033975,Local Tomatoes (Bunch),EU05,Mediterranean Vegetables,Green Eggplant (2),1011010501,Solanum
102900011033982,Local Cherry Tomatoes (Punnet),EU05,Mediterranean Vegetables,Eggplant (1),1011010501,Solanum
102900011033999,Local Aubergines (Net),EU05,Mediterranean Vegetables,Round Eggplant (1),1011010501,Solanum
102900051000463,Local Courgettes (Tray),EU05,Mediterranean Vegetables,Round Eggplant (2),1011010501,Solanum
102900005116219,Select Green Bell Pepper (Bag),EU03,Peppers & Chillies,Red Hot Peppers,1011010504,Capsicum
102900005116226,Select Orange Bell Pepper (Loose),EU03,Peppers & Chillies,Green Hot Peppers,1011010504,Capsicum
102900005116233,Select Sweet Pointed Pepper (500g pack),EU03,Peppers & Chillies,Red Pepper (1),1011010504,Capsicum
102900005116905,Select Padron Peppers (1kg pack),EU03,Peppers & Chillies,Green Hangjiao (1),1011010504,Capsicum
102900005116943,Select Jalapeno Chillies (Bunch),EU03,Peppers & Chillies,Red Hang Pepper,1011010504,Capsicum
102900005117056,Select Red Chillies (Punnet),EU03,Peppers & Chillies,Paopaojiao (Jingpin),1011010504,Capsicum
102900005117209,Select Green Chillies (Net),EU03,Peppers & Chillies,7 Colour Pepper (1),1011010504,Capsicum
102900005119968,Select Mixed Peppers (Tray),EU03,Peppers & Chillies,Green Hangzhou Pepper (2),1011010504,Capsicum
102900005123880,Select Ramiro Pepper (Bag),EU03,Peppers & Chillies,Bell Pepper (1),1011010504,Capsicum
102900005125808,Select Snack Peppers (Loose),EU03,Peppers & Chillies,Millet Pepper,1011010504,Capsicum
102900011000328,Organic Red Bell Pepper (500g pack),EU03,Peppers & Chillies,Luosi Pepper,1011010504,Capsicum
102900011000861,Organic Yellow Bell Pepper (1kg pack),EU03,Peppers & Chillies,Red Line Pepper,1011010504,Capsicum
102900011001219,Organic Green Bell Pepper (Bunch),EU03,Peppers & Chillies,The Red Bell Pepper (1),1011010504,Capsicum
102900011009772,Organic Orange Bell Pepper (Punnet),EU03,Peppers & Chillies,Fruit Pepper (Orange),1011010504,Capsicum
102900011016701,Organic Sweet Pointed Pepper (Net),EU03,Peppers & Chillies,Wuhu Green Pepper (1),1011010504,Capsicum
102900011022030,Organic Padron Peppers (Tray),EU03,Peppers & Chillies,Pepper Mix,1011010504,Capsicum
102900011023648,Organic Jalapeno Chillies (Bag),EU03,Peppers & Chillies,Wuhu Green Pepper (2),1011010504,Capsicum
102900011027479,Organic Red Chillies (Loose),EU03,Peppers & Chillies,Xiaozhoupi,1011010504,Capsicum
102900011028407,Organic Green Chillies (500g pack),EU03,Peppers & Chillies,Yuganjiao,1011010504,Capsicum
102900011029176,Organic Mixed Peppers (1kg pack),EU03,Peppers & Chillies,Lameizi,1011010504,Capsicum
102900011029275,Organic Ramiro Pepper (Bunch),EU03,Peppers & Chillies,Purple Hot Peppers,1011010504,Capsicum
102900011029299,Organic Snack Peppers (Punnet),EU03,Peppers & Chillies,Purple Screw Pepper,1011010504,Capsicum
102900011029305,Local Red Bell Pepper (Net),EU03,Peppers & Chillies,Fruit Chili,1011010504,Capsicum
102900011031100,Local Yellow Bell Pepper (Tray),EU03,Peppers & Chillies,Millet Pepper (Bag),1011010504,Capsicum
102900011031582,Local Green Bell Pepper (Bag),EU03,Peppers & Chillies,Green Hot Peppers (Bag),1011010504,Capsicum
102900011031735,Local Orange Bell Pepper (Loose),EU03,Peppers & Chillies,7 Colour Pepper (Bag),1011010504,Capsicum
102900011031742,Local Sweet Pointed Pepper (500g pack),EU03,Peppers & Chillies,Bell Pepper (Bag),1011010504,Capsicum
102900011031759,Local Padron Peppers (1kg pack),EU03,Peppers & Chillies,Red Bell Pepper (Bag),1011010504,Capsicum
102900011032022,Local Jalapeno Chillies (Bunch),EU03,Peppers & Chillies,Xiaozhoupi (Bag),1011010504,Capsicum
102900011032145,Local Red Chillies (Punnet),EU03,Peppers & Chillies,Wuhu Green Pepper (Bag),1011010504,Capsicum
102900011032206,Local Green Chillies (Net),EU03,Peppers & Chillies,Green Hang Pepper (Bag),1011010504,Capsicum
102900011032213,Local Mixed Peppers (Tray),EU03,Peppers & Chillies,Red Hang Pepper (Bag),1011010504,Capsicum
102900011032220,Local Ramiro Pepper (Bag),EU03,Peppers & Chillies,Fruit Pepper (Bag),1011010504,Capsicum
102900011032237,Local Snack Peppers (Loose),EU03,Peppers & Chillies,Green Line Pepper (Bag),1011010504,Capsicum
102900011032244,Family Pack Red Bell Pepper (500g pack),EU03,Peppers & Chillies,Red Hot Peppers (Bag),1011010504,Capsicum
102900011032251,Family Pack Yellow Bell Pepper (1kg pack),EU03,Peppers & Chillies,Luosi Pepper (Bag),1011010504,Capsicum
102900011032343,Family Pack Green Bell Pepper (Bunch),EU03,Peppers & Chillies,7 Colour Pepper (2),1011010504,Capsicum
102900011032350,Family Pack Orange Bell Pepper (Punnet),EU03,Peppers & Chillies,Bell Pepper (2),1011010504,Capsicum
102900011032367,Family Pack Sweet Pointed Pepper (Net),EU03,Peppers & Chillies,Red Bell Pepper (2),1011010504,Capsicum
102900011032848,Family Pack Padron Peppers (Tray),EU03,Peppers & Chillies,Ginger And Xiaomijiao Mix (Small Bag),1011010504,Capsicum
102900011034262,Family Pack Jalapeno Chillies (Bag),EU03,Peppers & Chillies,Red Pepper (Bag),1011010504,Capsicum
102900011034439,Family Pack Red Chillies (Loose),EU03,Peppers & Chillies,Green And Red Hang Pepper Mix (Bag),1011010504,Capsicum
102900011035078,Family Pack Green Chillies (500g pack),EU03,Peppers & Chillies,Red Pepper (2),1011010504,Capsicum
102900011036242,Family Pack Mixed Peppers (1kg pack),EU03,Peppers & Chillies,Green And Red Jian Pepper Mix (Bag),1011010504,Capsicum
102900051004294,Family Pack Ramiro Pepper (Bunch),EU03,Peppers & Chillies,Green Line Pepper,1011010504,Capsicum
102900005115250,Family Pack Organic Mushrooms (Punnet),EU02,Mushrooms,Xixia Black Mushroom (1),1011010801,Edible Mushroom
102900005116530,Seasonal Chestnut Mushrooms (Net),EU02,Mushrooms,Xixia Mushroom (1),1011010801,Edible Mushroom
102900005116547,Seasonal Button Mushrooms (Tray),EU02,Mushrooms,Needle Mushroom (1),1011010801,Edible Mushroom
102900005116837,Seasonal Portobello Mushrooms (Bag),EU02,Mushrooms,Ping Mushroom,1011010801,Edible Mushroom
102900005116912,Seasonal Oyster Mushrooms (Loose),EU02,Mushrooms,Jigu Mushroom (1),1011010801,Edible Mushroom
102900005117353,Seasonal Shiitake Mushrooms (500g pack),EU02,Mushrooms,The White Mushroom (1),1011010801,Edible Mushroom
102900005119098,Seasonal King Oyster Mushrooms (1kg pack),EU02,Mushrooms,The Agaricus Bisporus,1011010801,Edible Mushroom
102900005119104,Seasonal Mixed Wild Mushrooms (Bunch),EU02,Mushrooms,The Crab Flavor Mushroom (1),1011010801,Edible Mushroom
102900005119944,Seasonal Enoki Mushrooms (Punnet),EU02,Mushrooms,Haixian Mushroom (1),1011010801,Edible Mushroom
102900005125815,Seasonal Brown Cup Mushrooms (Net),EU02,Mushrooms,Apricot Bao Mushroom (1),1011010801,Edible Mushroom
102900011001806,Seasonal Flat Mushrooms (Tray),EU02,Mushrooms,Jigu Mushroom (Bunch),1011010801,Edible Mushroom
102900011001813,Seasonal Sliced Mushrooms (Bag),EU02,Mushrooms,Needle Mushroom (Bag) (1),1011010801,Edible Mushroom
102900011007044,Seasonal Organic Mushrooms (Loose),EU02,Mushrooms,Tremella (Flower),1011010801,Edible Mushroom
102900011008577,Premium Chestnut Mushrooms (500g pack),EU02,Mushrooms,Hericium ,1011010801,Edible Mushroom
102900011009246,Premium Button Mushrooms (1kg pack),EU02,Mushrooms,Fresh Black Fungus (1),1011010801,Edible Mushroom
102900011010563,Premium Portobello Mushrooms (Bunch),EU02,Mushrooms,Chicken Fir Bacteria,1011010801,Edible Mushroom
102900011011058,Premium Oyster Mushrooms (Punnet),EU02,Mushrooms,Black Porcini,1011010801,Edible Mushroom
102900011011546,Premium Shiitake Mushrooms (Net),EU02,Mushrooms,Haixian Mushroom (Bag) (1),1011010801,Edible Mushroom
102900011011669,Premium King Oyster Mushrooms (Tray),EU02,Mushrooms,Xiuzhen Mushroom,1011010801,Edible Mushroom
102900011011782,Premium Mixed Wild Mushrooms (Bag),EU02,Mushrooms,Chinese Caterpillar Fungus Flowers (Box) (1),1011010801,Edible Mushroom
102900011012482,Premium Enoki Mushrooms (Loose),EU02,Mushrooms,Tea Tree Mushroom (Bag),1011010801,Edible Mushroom
102900011012871,Premium Brown Cup Mushrooms (500g pack),EU02,Mushrooms,Black Chicken  Mushroom,1011010801,Edible Mushroom
102900011012994,Premium Flat Mushrooms (1kg pack),EU02,Mushrooms,Apricot Bao Mushroom (Bag),1011010801,Edible Mushroom
102900011013274,Premium Sliced Mushrooms (Bunch),EU02,Mushrooms,The White Mushroom (Bag),1011010801,Edible Mushroom
102900011018095,Premium Organic Mushrooms (Punnet),EU02,Mushrooms,Chinese Caterpillar Fungus Flowers (Bag),1011010801,Edible Mushroom
102900011021675,Loose Chestnut Mushrooms (Net),EU02,Mushrooms,Chopped Red Pine,1011010801,Edible Mushroom
102900011021699,Loose Button Mushrooms (Tray),EU02,Mushrooms,The Steak Mushrooms,1011010801,Edible Mushroom
102900011023075,Loose Portobello Mushrooms (Bag),EU02,Mushrooms,White Jelly Mushroom,1011010801,Edible Mushroom
102900011026793,Loose Oyster Mushrooms (Loose),EU02,Mushrooms,Apricot Bao Mushroom (250 G),1011010801,Edible Mushroom
102900011030561,Loose Shiitake Mushrooms (500g pack),EU02,Mushrooms,Chopped Red Pine (Box),1011010801,Edible Mushroom
102900011030608,Loose King Oyster Mushrooms (1kg pack),EU02,Mushrooms,The Steak Mushrooms (Box),1011010801,Edible Mushroom
102900011030615,Loose Mixed Wild Mushrooms (Bunch),EU02,Mushrooms,The Pork Stomach Mushroom (Box),1011010801,Edible Mushroom
102900011030622,Loose Enoki Mushrooms (Punnet),EU02,Mushrooms,Black Porcini (Box),1011010801,Edible Mushroom
102900011030639,Loose Brown Cup Mushrooms (Net),EU02,Mushrooms,Black Chicken Fir Bacteria (Box),1011010801,Edible Mushroom
102900011030912,Loose Flat Mushrooms (Tray),EU02,Mushrooms,Haixian Mushroom (Bag),1011010801,Edible Mushroom
102900011030929,Loose Sliced Mushrooms (Bag),EU02,Mushrooms,Fresh Edible Fungus (Bag),1011010801,Edible Mushroom
102900011031599,Loose Organic Mushrooms (Loose),EU02,Mushrooms,Apricot Bao Mushroom (Bag),1011010801,Edible Mushroom
102900011031841,Class I Chestnut Mushrooms (500g pack),EU02,Mushrooms,Agaricus Bisporus (Bag),1011010801,Edible Mushroom
102900011031858,Class I Button Mushrooms (1kg pack),EU02,Mushrooms,Needle Mushroom (Bag),1011010801,Edible Mushroom
102900011031926,Class I Portobello Mushrooms (Bunch),EU02,Mushrooms,Chinese Caterpillar Fungus Flowers (Bag),1011010801,Edible Mushroom
102900011031995,Class I Oyster Mushrooms (Punnet),EU02,Mushrooms,Jigu (Bag),1011010801,Edible Mushroom
102900011032619,Class I Shiitake Mushrooms (Net),EU02,Mushrooms,Xixia Xianggu Mushroom (2),1011010801,Edible Mushroom
102900011032626,Class I King Oyster Mushrooms (Tray),EU02,Mushrooms,Fresh Edible Fungus (2),1011010801,Edible Mushroom
